"YEAR";"T.SUM";"PHASE";"DOY"
1993;12280,1561573631;10;284
1993;11960,140120054;10;290
1993;12437,3887898212;10;283
1993;11417,773126075;10;270
1993;11827,486767048;10;280
1993;11822,8089536163;10;286
1993;11773,4678801228;10;287
1993;11479,8180309109;10;273
1993;11879,0393735139;10;285
1993;11710,8966177629;10;287
1993;11841,0586604692;10;285
1993;11532,2074566058;10;279
1993;13405,1589157577;10;278
1993;13390,0474432858;10;282
1993;11954,2670494128;10;289
1993;11475,5412735907;10;277
1993;11697,1397769172;10;281
1993;11794,5971956817;10;285
1993;11801,2702844502;10;283
1993;11904,5275527945;10;288
1993;11506,6946944844;10;268
1993;11949,760144704;10;282
1993;11548,9930582317;10;286
1993;11758,3797511678;10;295
1993;12167,9391155923;10;289
1993;11833,2884545546;10;288
1993;11302,8225727752;10;274
1993;11781,4329581785;10;298
1993;13116,3513212251;10;296
1993;11679,1143795927;10;293
1993;12109,6338357757;10;286
1993;12763,3600459059;10;295
1993;11773,6499601081;10;294
1993;12291,9138455204;10;289
1993;11451,6367881975;10;281
1993;11715,7027945131;10;286
1993;11590,5462974452;10;289
1993;11556,5793003772;10;284
1993;11618,8807865275;10;281
1993;12289,4720054496;10;288
1993;12626,5898208147;10;293
1993;11516,9727640708;10;286
1993;12591,505331742;10;289
1993;12974,8822739199;10;289
1993;12729,1480705764;10;294
1993;11496,3907677474;10;278
1993;11710,6633242318;10;279
1993;11766,2680698158;10;282
1993;12686,180035473;10;280
1993;11818,0628606029;10;280
1993;13276,3420415162;10;294
1993;11594,363543461;10;286
1993;11778,0531532113;10;288
1993;11529,4970475066;10;280
1993;13118,0320954505;10;282
1993;12297,2040293187;10;284
1993;11310,804762938;10;274
1993;13152,667418627;10;285
1993;13654,4326933523;10;286
1993;12658,3337276584;10;289
1993;13273,1974688745;10;295
1993;13108,0245376256;10;279
1993;11817,4817704506;10;283
1993;11542,6249573839;10;281
1993;13026,3838436247;10;293
1993;11625,5156882606;10;268
1993;11627,5724260348;10;289
1993;12941,0925926019;10;300
1993;11577,3153527187;10;279
1993;12885,2043589969;10;288
1993;11688,0031468602;10;286
1993;11968,2733893649;10;288
1993;12317,2046165125;10;281
1993;11731,0132581403;10;289
1993;13387,4899662504;10;287
1993;11813,8525612701;10;295
1993;11640,6327407627;10;268
1993;13624,5649871262;10;272
1993;13510,5143354929;10;275
1993;12647,9845568439;10;281
1993;11636,2429244141;10;283
1993;13369,4330021478;10;292
1993;12205,8617669657;10;288
1993;13162,8713936259;10;293
1993;13072,4373651076;10;288
1993;13155,1846889561;10;285
1993;12233,9471776714;10;277
1993;11461,9526556564;10;277
1993;12313,1748027178;10;292
1993;13016,3816919479;10;280
1993;12090,237392842;10;278
1993;12033,0963714901;10;294
1993;11601,6477877841;10;278
1993;13656,9578808719;10;280
1993;12683,6598531599;10;286
1993;13397,0160666526;10;277
1993;11416,2668192609;10;273
1993;12215,1203099096;10;294
1993;11692,3750437678;10;292
1993;13565,74166285;10;274
1993;11511,4627766724;10;282
1993;11246,4325785136;10;273
1993;11542,5900823412;10;271
1993;11971,0120615023;10;280
1993;12263,07114764;10;292
